"SCHID","PUBLIC","TCSHORT","STRATIO","STIDSTD","FEMALE","LANGATHOME","PARED","HOMEPOS","IMMIG","PV1MATH","CYCLE"
15,1,-1.4551,16.8724,84000534,1,1,16,0.3464,1,444.825,1
21,1,-1.4551,11.2222,84005192,0,1,16,1.4701,1,516.872,1
2,1,1.0953,14.4388,84006641,0,1,16,-0.3267,1,251.678,1
4,1,-1.4551,24.9851,84002813,0,0,16,0.9812,0,561.019,1
17,1,-0.7828,100,84001592,0,1,16,0.567,1,470.95,1
10,1,-0.614,12.5827,84002239,1,1,16,-0.7625,1,471.116,1
1,1,0.8307,4,84001714,1,1,12,0.029,1,407.973,1
7,1,0.6045,13.1818,84005010,0,1,16,0.7967,1,436.226,1
12,1,0.1893,10.5405,84007712,0,1,16,0.0944,1,532.368,1
18,1,-1.4551,22.5556,84002655,1,1,16,-0.055,1,534.553,1
11,1,0.592,24,84003590,1,1,9,-0.5332,1,481.563,1
8,1,0.592,3.8387,84004499,1,1,12,-0.005,1,391.022,1
15,1,-1.4551,16.8724,84004632,0,1,16,0.8508,1,450.18,1
1,1,0.8307,4,84003452,0,1,16,-0.2539,1,471.03,1
28,1,-0.4427,14.9342,84002189,1,1,12,-1.3812,1,367.745,2
44,1,0.4054,10.3438,84005521,0,1,12,-0.7777,1,405.316,2
44,1,0.4054,10.3438,84010432,0,1,12,-1.7631,1,455.551,2
47,1,-0.8076,14.3677,84002155,0,0,14,-0.6952,0,418.146,2
42,1,-0.9308,13.8542,84002612,1,1,16,2.3757,1,626.014,2
35,1,0.4783,9.81,84002152,0,1,12,0.6824,1,452.364,2
38,1,1.9967,22.8261,84005239,0,1,16,-0.6281,1,275.848,2
28,1,-0.4427,14.9342,84007743,1,1,14,-2.6702,1,429.279,2
26,1,1.4002,24.3721,84005571,1,1,16,1.714,0,511.188,2
44,1,0.4054,10.3438,84010504,0,1,12,-1.0265,1,515.42,2
32,1,-0.1877,15.5294,84000614,0,1,16,1.8167,1,442.611,2
40,1,0.4783,13.0699,84005926,0,1,12,1.324,1,477.271,2
41,1,0.0814,15.2158,84006011,1,1,16,1.0367,1,441.777,2
30,1,0.5382,15.2611,84001848,0,1,16,1.0088,1,674.587,2
42,1,-0.9308,13.8542,84006035,1,1,12,-0.5889,1,297.187,2
42,1,-0.9308,13.8542,84003827,0,1,16,-0.3453,1,598.854,2
34,1,0.2838,14.9067,84007550,0,1,12,0.6563,1,476.696,2
45,1,-1.6823,18.8571,84010493,1,1,16,-0.3817,1,295.294,2
42,1,-0.9308,13.8542,84000749,1,1,16,1.3126,1,623.618,2
34,1,0.2838,14.9067,84003720,1,1,16,0.9899,1,411.381,2
37,1,-0.9308,21.3229,84004339,1,1,12,-0.0127,0,417.263,2
43,1,-1.6823,10.6173,84007508,1,1,12,1.0346,1,436.73,2
44,1,0.4054,10.3438,84001712,0,1,16,2.7659,1,437.432,2
46,1,0.2838,22.2857,84007374,1,1,12,0.6917,1,509.68,2
34,1,0.2838,14.9067,84009926,1,1,14,-1.5976,1,466.763,2
26,1,1.4002,24.3721,84002260,0,0,9,0.0033,0,469.576,2
33,1,-0.4427,16.234,84005315,1,1,16,0.7477,1,573.538,2
26,1,1.4002,24.3721,84002815,1,0,6,-2.3453,0,356.825,2
50,1,-0.4427,15.4565,84000717,0,0,9,-0.3392,0,452.584,2
26,1,1.4002,24.3721,84000513,1,0,12,-2.0931,0,410.25,2
44,1,0.4054,10.3438,84001893,1,1,12,-0.908,1,562.089,2
44,1,0.4054,10.3438,84010161,1,1,12,-0.1575,1,365.864,2
32,1,-0.1877,15.5294,84000367,1,0,6,3.2769,0,428.122,2
26,1,1.4002,24.3721,84005975,0,0,3,-1.171,0,509.709,2
36,1,-1.6823,17.9223,84003201,1,1,16,-0.1067,1,514.011,2
39,1,-0.7903,20.339,84003768,0,0,6,0.5304,0,354.926,2
32,1,-0.1877,15.5294,84005321,0,1,14,-2.8851,1,517.593,2
36,1,-1.6823,17.9223,84007464,1,1,6,0.9669,1,325.002,2
49,1,1.9967,20.8696,84009108,1,0,12,2.1309,0,372.117,2
32,1,-0.1877,15.5294,84000547,0,1,14,-1.5945,1,375.319,2
29,1,0.4783,19.2727,84010223,1,1,16,0.1783,1,518.429,2
48,1,1.4002,20.4388,84010547,0,1,14,0.5008,1,519.329,2
26,1,1.4002,24.3721,84010031,0,0,3,-0.1994,0,508.447,2
44,1,0.4054,10.3438,84006821,0,1,12,-0.1895,1,356.427,2
41,1,0.0814,15.2158,84000595,0,1,12,-0.7805,1,509.14,2
30,1,0.5382,15.2611,84004847,0,1,16,0.4897,1,766.785,2
35,1,0.4783,9.81,84007468,0,1,14,-0.3109,1,494.654,2
40,1,0.4783,13.0699,84006764,0,1,16,0.8698,1,582.161,2
29,1,0.4783,19.2727,84006046,0,1,12,-1.4182,1,498.583,2
47,1,-0.8076,14.3677,84008134,1,0,6,-1.7806,1,322.469,2
30,1,0.5382,15.2611,84007144,1,1,16,-0.3214,0,463.006,2
30,1,0.5382,15.2611,84005123,0,1,16,1.2902,1,496.093,2
31,1,-0.4427,19.2698,84005805,1,1,16,2.688,1,419.569,2
39,1,-0.7903,20.339,84000684,0,1,12,-0.1559,1,491.121,2
33,1,-0.4427,16.234,84002280,0,1,12,-2.5822,1,593.246,2
33,1,-0.4427,16.234,84003176,0,1,12,-0.9976,1,430.898,2
35,1,0.4783,9.81,84009032,0,1,12,-1.1278,1,384.045,2
49,1,1.9967,20.8696,84009761,1,0,16,0.9443,0,276.42,2
40,1,0.4783,13.0699,84004332,0,1,16,0.7074,1,481.429,2
49,1,1.9967,20.8696,84009643,0,1,12,-0.9534,1,467.156,2
47,1,-0.8076,14.3677,84001724,0,0,9,-1.5583,0,385.447,2
32,1,-0.1877,15.5294,84006238,1,0,16,-0.0181,1,345.605,2
42,1,-0.9308,13.8542,84004445,1,1,16,0.8991,1,522.214,2
50,1,-0.4427,15.4565,84006165,0,1,14,0.3985,1,428.613,2
40,1,0.4783,13.0699,84009773,0,1,12,0.2452,1,453.762,2
39,1,-0.7903,20.339,84000218,0,1,9,0.2409,0,497.822,2
29,1,0.4783,19.2727,84000686,1,1,16,0.3621,1,416.514,2
31,1,-0.4427,19.2698,84005168,1,1,14,0.9028,1,384.098,2
41,1,0.0814,15.2158,84010093,0,1,14,-0.0988,1,493.208,2
44,1,0.4054,10.3438,84007315,1,1,14,0.4931,1,505.366,2
50,1,-0.4427,15.4565,84005039,0,1,14,2.4278,1,409.829,2
37,1,-0.9308,21.3229,84006138,1,0,9,-1.5478,0,307.126,2
49,1,1.9967,20.8696,84001021,0,1,12,0.5394,1,394.197,2
49,1,1.9967,20.8696,84008438,0,1,12,-0.1615,1,468.444,2
27,1,-0.1779,17.2992,84004216,0,1,16,1.9653,1,554.803,2
29,1,0.4783,19.2727,84007765,0,0,12,-1.4011,0,538.987,2
40,1,0.4783,13.0699,84001756,0,1,16,0.504,1,489.495,2
45,1,-1.6823,18.8571,84001428,0,1,16,-2.2249,1,402.483,2
48,1,1.4002,20.4388,84001685,1,1,12,0.9034,1,396.35,2
35,1,0.4783,9.81,84003811,1,1,12,-0.9668,1,560.573,2
42,1,-0.9308,13.8542,84004757,1,1,12,-1.5498,1,277.696,2
48,1,1.4002,20.4388,84002796,1,1,9,-2.755,0,552.537,2
36,1,-1.6823,17.9223,84001762,1,1,16,0.2071,1,443.617,2
31,1,-0.4427,19.2698,84006785,0,1,16,0.5591,1,435.377,2
35,1,0.4783,9.81,84000063,1,1,12,1.3691,1,504.759,2
49,1,1.9967,20.8696,84003330,0,0,12,0.399,0,318.115,2
50,1,-0.4427,15.4565,84003446,1,0,12,-1.7941,0,547.64,2
28,1,-0.4427,14.9342,84005512,1,1,12,-0.3963,1,500.229,2
27,1,-0.1779,17.2992,84009892,1,1,16,0.9379,1,536.791,2
35,1,0.4783,9.81,84003651,0,1,12,-1.634,1,382.39,2
32,1,-0.1877,15.5294,84010426,0,1,16,0.7931,1,478.132,2
43,1,-1.6823,10.6173,84010057,0,1,14,0.9079,1,319.258,2
49,1,1.9967,20.8696,84001278,0,1,12,-1.2835,1,322.42,2
32,1,-0.1877,15.5294,84009602,0,1,12,0.9376,1,550.012,2
47,1,-0.8076,14.3677,84009106,0,0,6,-2.4324,0,345.018,2
38,1,1.9967,22.8261,84003028,1,1,9,-1.5986,1,392.897,2
40,1,0.4783,13.0699,84007715,1,1,16,1.2322,0,639.429,2
48,1,1.4002,20.4388,84003387,1,1,16,-0.4455,0,398.981,2
38,1,1.9967,22.8261,84004891,0,1,16,0.7501,1,573.916,2
30,1,0.5382,15.2611,84003769,1,1,16,1.2548,1,418.447,2
67,1,-1.0911,22.906,1261,1,0,9,-2.84,0,345.2329,3
61,1,-1.0911,23.385,4908,0,1,14,-0.33,0,536.3063,3
54,1,-1.0911,21.445,3699,1,1,16,1.15,1,568.0869,3
73,1,-1.0544,20.576,2487,0,1,16,2.53,1,536.8515,3
63,1,-1.0911,13.115,676,0,1,16,0.62,1,656.1069,3
64,1,-1.0911,15.366,754,0,1,16,-0.16,1,504.2141,3
64,1,-1.0911,15.366,766,1,1,16,-0.33,1,642.8649,3
57,1,0.7093,3.245,3904,0,1,12,1.15,1,417.6741,3
59,1,-1.0911,14.801,4139,0,1,12,-0.16,0,390.3334,3
53,1,-1.0911,16.929,3270,0,1,12,1.91,1,484.7406,3
73,1,-1.0544,20.576,2463,1,1,16,2.53,1,581.5625,3
71,1,-1.0911,24.942,2176,1,1,14,1.15,1,474.4586,3
57,1,0.7093,3.245,3924,1,1,9,-1.3,1,509.6666,3
70,1,-1.0911,16.81,204,0,1,16,-0.66,1,458.101,3
72,1,-1.0911,16.995,2216,1,1,16,-1.14,1,342.8961,3
61,1,-1.0911,23.385,4929,0,0,9,-0.16,0,402.2511,3
64,1,-1.0911,15.366,748,0,1,12,-0.16,1,318.9827,3
63,1,-1.0911,13.115,666,0,1,12,-1,1,463.7872,3
57,1,0.7093,3.245,3915,1,1,12,-0.5,1,511.3024,3
68,1,-1.0911,11.083,1637,0,1,14,0.41,1,599.1665,3
57,1,0.7093,3.245,3913,0,0,6,0.02,0,544.6409,3
73,1,-1.0544,20.576,2473,0,1,16,1.48,1,476.1723,3
60,1,2.093,17.633,4473,0,1,12,-0.82,1,345.3108,3
51,1,-1.0911,14.515,3065,0,1,12,1.38,1,363.3043,3
57,1,0.7093,3.245,3908,0,0,9,0.02,0,479.2102,3
74,1,-1.0911,5.473,2617,1,1,12,0.2,1,530.62,3
75,1,-1.0911,26.173,3014,0,1,12,0.2,1,510.6792,3
66,1,-1.0911,9.733,1175,1,1,16,1.91,1,664.5973,3
63,1,-1.0911,13.115,699,0,1,14,-0.66,1,470.564,3
75,1,-1.0911,26.173,2995,1,1,16,0.2,0,508.0308,3
55,1,0.9454,15.943,3757,0,1,16,0.41,1,461.762,3
61,1,-1.0911,23.385,4897,0,0,16,1.15,0,455.141,3
54,1,-1.0911,21.445,3709,1,1,14,1.91,1,582.8088,3
66,1,-1.0911,9.733,1187,1,1,16,0.62,1,534.281,3
69,1,-1.0911,24.893,1907,1,0,12,-0.98,0,380.5188,3
54,1,-1.0911,21.445,3704,0,0,9,-0.5,0,681.8118,3
70,1,-1.0911,16.81,211,0,1,16,0.87,1,427.8782,3
62,1,1.1868,19.372,571,0,1,12,0.02,1,526.7253,3
59,1,-1.0911,14.801,4163,0,1,9,-0.66,0,479.6775,3
71,1,-1.0911,24.942,2184,1,1,16,2.53,0,605.398,3
72,1,-1.0911,16.995,2215,0,1,12,-0.53,1,518.2349,3
62,1,1.1868,19.372,581,0,1,14,0.02,0,502.5004,3
59,1,-1.0911,14.801,4157,1,0,6,-1.3,0,515.7423,3
58,1,-1.0911,15.915,4118,1,1,12,-0.16,1,512.7824,3
72,1,-1.0911,16.995,2197,0,0,6,-2.38,0,373.2747,3
69,1,-1.0911,24.893,1897,0,0,14,-0.98,0,381.7651,3
55,1,0.9454,15.943,3775,1,1,12,1.15,1,461.3725,3
61,1,-1.0911,23.385,4927,0,1,16,0.62,1,431.9286,3
64,1,-1.0911,15.366,751,1,1,12,1.48,1,466.9029,3
68,1,-1.0911,11.083,1634,0,1,12,-1.46,1,447.4295,3
54,1,-1.0911,21.445,3710,0,1,16,0.2,0,601.8149,3
69,1,-1.0911,24.893,1904,0,1,12,-0.59,1,548.6135,3
74,1,-1.0911,5.473,2610,1,1,12,-0.16,1,531.0874,3
69,1,-1.0911,24.893,1892,1,0,16,1.48,0,477.7302,3
58,1,-1.0911,15.915,4109,0,1,16,1.15,1,628.8441,3
63,1,-1.0911,13.115,684,0,1,16,1.15,1,632.1935,3
69,1,-1.0911,24.893,1920,0,1,16,0.87,1,404.5879,3
53,1,-1.0911,16.929,3279,1,1,12,2.21,1,425.775,3
61,1,-1.0911,23.385,4911,1,1,16,0.62,1,702.8431,3
75,1,-1.0911,26.173,3021,0,1,12,-0.98,0,369.6136,3
65,1,-1.0911,12.255,1053,1,0,14,-0.33,1,335.1846,3
69,1,-1.0911,24.893,1918,0,1,16,0.2,1,370.1589,3
70,1,-1.0911,16.81,214,1,1,16,0.02,1,509.2771,3
60,1,2.093,17.633,4452,1,0,9,-0.33,0,533.8916,3
56,1,0.4567,21.405,3838,1,1,14,1.48,1,427.3329,3
69,1,-1.0911,24.893,1896,0,1,16,0.62,1,449.6105,3
52,1,0.7093,11.817,3143,0,0,9,-0.76,0,403.6532,3
74,1,-1.0911,5.473,2607,0,1,16,0.02,1,453.4273,3
72,1,-1.0911,16.995,2198,0,1,12,-0.82,1,486.2206,3
68,1,-1.0911,11.083,1633,1,1,16,-0.66,1,437.3033,3
71,1,-1.0911,24.942,2166,0,1,16,1.91,1,499.4625,3
56,1,0.4567,21.405,3832,0,1,16,1.15,1,559.6744,3
55,1,0.9454,15.943,3763,1,1,12,-0.16,1,374.2094,3
52,1,0.7093,11.817,3160,0,1,16,-0.16,0,539.3441,3
71,1,-1.0911,24.942,2167,0,1,16,0.62,1,590.5982,3
51,1,-1.0911,14.515,3072,1,1,12,-0.16,1,410.7415,3
70,1,-1.0911,16.81,213,1,1,16,0.2,1,679.3971,3
71,1,-1.0911,24.942,2173,0,1,16,2.53,1,597.6866,3
68,1,-1.0911,11.083,1626,1,1,12,-0.82,1,466.124,3
58,1,-1.0911,15.915,4110,1,1,16,0.62,1,578.6026,3
51,1,-1.0911,14.515,3069,0,1,16,0.2,1,377.2472,3
62,1,1.1868,19.372,577,0,1,12,-0.33,1,454.5957,3
57,1,0.7093,3.245,3922,1,1,16,-1.8,1,506.2393,3
55,1,0.9454,15.943,3765,1,1,14,-0.98,1,520.6496,3
71,1,-1.0911,24.942,2174,0,1,16,1.48,0,538.0978,3
55,1,0.9454,15.943,3777,1,1,16,-1.63,1,304.8839,3
73,1,-1.0544,20.576,2485,0,1,16,-0.16,1,608.5138,3
64,1,-1.0911,15.366,764,1,1,12,-1.04,1,389.6323,3
52,1,0.7093,11.817,3150,1,1,16,-0.82,1,606.2549,3
66,1,-1.0911,9.733,1171,1,1,16,-0.66,1,555.6239,3
65,1,-1.0911,12.255,1050,1,1,12,-1.63,1,521.818,3
73,1,-1.0544,20.576,2476,0,1,12,-1.3,1,560.687,3
69,1,-1.0911,24.893,1908,1,1,16,1.48,1,563.4912,3
55,1,0.9454,15.943,3762,0,1,16,1.44,1,475.3155,3
61,1,-1.0911,23.385,4901,1,1,16,1.91,1,629.5451,3
67,1,-1.0911,22.906,1236,1,1,14,0.41,1,508.1866,3
56,1,0.4567,21.405,3826,1,1,14,2.53,1,381.064,3
52,1,0.7093,11.817,3163,0,1,6,0.02,0,578.2131,3
54,1,-1.0911,21.445,3693,0,1,3,0.02,0,601.6591,3
73,1,-1.0544,20.576,2478,1,1,16,0.02,1,456.3094,3
79,1,-1.0222,14.529,3714,0,1,16,0.0976,1,717.25,4
81,1,0.8777,14.86,3818,0,0,3,-1.8389,0,332.61,4
76,1,0.1455,18.364,21,0,1,16,2.5602,1,377.64,4
86,1,-1.0222,15.781,5029,0,1,16,0.9439,1,488.25,4
88,1,-1.0222,17.081,642,0,1,14,0.7021,0,546.67,4
86,1,-1.0222,15.781,5034,1,1,12,-0.978,1,347.26,4
77,1,-1.0222,24.435,3419,0,0,12,-0.5495,0,496.81,4
88,1,-1.0222,17.081,624,1,1,16,0.4835,1,452.41,4
96,1,0.662,23.151,2609,0,1,12,-0.978,1,461.76,4
79,1,-1.0222,14.529,3691,1,1,16,1.2196,1,538.41,4
85,1,-1.0222,15.2663,4914,1,1,16,0.0976,1,447.74,4
84,1,-1.0222,17.596,4433,0,1,14,-0.0765,1,444.16,4
77,1,-1.0222,24.435,3409,0,0,16,-1.2566,0,465.97,4
77,1,-1.0222,24.435,3422,0,0,12,-1.1173,0,433.25,4
87,1,1.096,16.579,5129,1,1,12,1.5475,1,461.84,4
86,1,-1.0222,15.781,5012,1,1,12,-1.2566,1,426.71,4
87,1,1.096,16.579,5124,0,1,12,-2.514,1,402.17,4
81,1,0.8777,14.86,3809,0,1,14,-0.0765,1,414.17,4
85,1,-1.0222,15.2663,4898,0,1,12,-0.0765,1,445.48,4
78,1,0.8777,11.5,3577,1,1,16,-1.688,1,295.85,4
99,1,-1.0222,16.598,2916,0,0,3,0.2137,0,387.84,4
90,1,-1.0222,17.689,1020,0,1,12,-0.3986,1,396.33,4
92,1,-1.0222,13.337,2037,0,1,12,-1.0254,1,530.23,4
86,1,-1.0222,15.781,5041,0,1,14,-1.2566,1,425.85,4
89,1,-0.2606,16.41,690,0,1,14,0.0976,1,510.37,4
79,1,-1.0222,14.529,3709,1,1,14,-0.2419,1,474.54,4
77,1,-1.0222,24.435,3429,0,0,3,-0.2419,0,335.18,4
88,1,-1.0222,17.081,638,1,1,12,0.2843,1,564.58,4
76,1,0.1455,18.364,10,1,1,16,1.2196,1,512.78,4
82,1,-1.0222,15.5472,401,0,1,14,-0.0765,1,502.19,4
78,1,0.8777,11.5,3553,0,1,16,0.0976,1,471.89,4
90,1,-1.0222,17.689,1039,0,0,9,0.4835,0,423.2,4
94,1,1.096,20.741,2384,0,1,16,0.0976,0,543.55,4
85,1,-1.0222,15.2663,4920,1,1,12,-1.2566,1,552.9,4
81,1,0.8777,14.86,3811,1,1,16,3.7374,1,488.25,4
76,1,0.1455,18.364,23,1,1,16,-0.3986,1,608.9,4
78,1,0.8777,11.5,3560,0,1,12,-1.1173,1,418.92,4
82,1,-1.0222,15.5472,386,1,1,9,1.2196,1,433.88,4
79,1,-1.0222,14.529,3699,0,1,12,-0.978,1,343.52,4
97,1,0.662,14.968,2686,1,1,12,0.4835,1,464.1,4
76,1,0.1455,18.364,24,0,1,16,1.5475,1,490.58,4
78,1,0.8777,11.5,3554,0,1,12,-0.978,1,343.36,4
92,1,-1.0222,13.337,2050,0,1,12,-0.6066,1,577.75,4
90,1,-1.0222,17.689,1010,1,1,12,-0.2419,1,426.71,4
82,1,-1.0222,15.5472,372,1,1,12,-1.2566,1,416.58,4
93,1,-1.0222,14.416,2077,0,0,14,-0.5495,0,577.75,4
91,1,0.4283,20.352,1180,0,1,16,1.9644,1,603.14,4
90,1,-1.0222,17.689,1034,0,1,14,-0.2419,1,303.95,4
76,1,0.1455,18.364,26,0,1,16,-1.2566,1,351.07,4
100,1,0.8777,14,3045,1,1,14,-0.8378,1,430.76,4
81,1,0.8777,14.86,3821,1,1,12,-1.8215,0,406.46,4
91,1,0.4283,20.352,1199,1,0,12,-0.6956,0,258.77,4
83,1,-0.2606,15.295,4245,1,1,12,-0.3986,1,399.37,4
96,1,0.662,23.151,2594,1,1,3,-0.5495,0,383.87,4
86,1,-1.0222,15.781,5007,1,1,14,-0.978,1,491.52,4
77,1,-1.0222,24.435,3427,1,1,16,0.0976,1,472.74,4
96,1,0.662,23.151,2605,1,0,12,-1.5409,0,381.84,4
96,1,0.662,23.151,2593,0,0,16,-0.0765,0,628.07,4
94,1,1.096,20.741,2390,1,0,12,-0.978,0,410.51,4
81,1,0.8777,14.86,3812,1,0,14,-0.0765,1,429.05,4
79,1,-1.0222,14.529,3683,1,1,12,-0.2419,1,506.86,4
99,1,-1.0222,16.598,2903,1,1,16,3.7374,1,541.37,4
87,1,1.096,16.579,5131,1,1,16,0.0928,0,296.71,4
96,1,0.662,23.151,2598,0,0,16,-0.6956,0,561,4
77,1,-1.0222,24.435,3424,1,1,12,-1.2566,1,342.58,4
94,1,1.096,20.741,2374,0,1,14,-0.2419,1,583.28,4
93,1,-1.0222,14.416,2091,1,0,12,-0.8286,0,529.06,4
96,1,0.662,23.151,2597,1,0,9,-0.978,0,272.48,4
90,1,-1.0222,17.689,1037,1,0,12,-1.3978,0,418.3,4
80,1,-1.0222,10.485,3787,0,1,12,-0.3174,1,576.66,4
99,1,-1.0222,16.598,2920,0,1,16,2.5602,1,487.39,4
80,1,-1.0222,10.485,3788,0,1,12,-0.2419,1,623,4
78,1,0.8777,11.5,3559,1,1,12,0.7021,1,379.35,4
94,1,1.096,20.741,2377,1,0,14,1.2196,0,281.83,4
82,1,-1.0222,15.5472,382,0,1,12,0.0976,1,573.46,4
82,1,-1.0222,15.5472,381,1,1,12,1.5475,1,534.59,4
100,1,0.8777,14,3051,0,0,9,-1.2299,0,476.09,4
